RC,HID,STOP_DATE,STEEL_GRADE,TAPPED_WGT,TOTAL_CHARGE,DRI_CHARGE,SCRAP_CHARGE,POWER_ON_TIME,FINAL_TEMP,TOTAL_C_DRI,LOCAL_SCRAP,HOME_RETURN_SCRAP,IMPORTED_SCRAP,PIG_IRON,DRI_BRIQUETTED,FESI,FEMN,SIMN,FECR,NICKEL,FETI,FEB,FENB,FEP,FEMO,CU,FEV,NITROVAN,ELEC_ENERGY,OXYGEN,COKE_LUMP,MODULE_CARBON,COKE_POWDER,BURNT_LIME,BURNT_DOLAMITE,FLUX,C_ANALYSIS, 
268925,533501,05-JAN-2023 00.54.24,2010,155.8,199.59,161.6,37.99,48.5,1675,,23.22,14.77,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,96800,6254,0,2934,0,0,7000,0,, 
268928,533502,05-JAN-2023 02.01.33,2010,158.3,191.29,148.7,42.59,43.8,1694,,26.03,16.56,,,,0,300,0,0,0,0,0,0,0,0,0,0,0,91900,6533,0,3825,0,0,7000,0,, 
268931,533503,05-JAN-2023 02.53.04,5042,158.2,186.7,150.7,36,39.4,1670,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,84800,5936,0,2533,0,0,6400,0,, 
268933,533504,05-JAN-2023 03.44.00,5042,166.2,187.2,151.2,36,39.7,1625,,22,14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,85700,5757,0,2581,0,0,6800,0,, 
268937,533505,05-JAN-2023 04.40.23,1030,157.3,189.59,149.6,39.99,41.2,1575,,24.44,15.55,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,87600,5799,0,2567,0,0,7000,0,, 
268940,533506,05-JAN-2023 05.34.40,5091,158.8,191.19,150.6,40.59,40,1654,,24.8,15.79,,,,0,998,0,0,0,0,0,0,0,0,0,0,0,84500,6349,0,2606,0,0,7000,0,, 
268943,533507,05-JAN-2023 06.26.19,1032,158,192.1,150.6,41.5,39.4,1664,,25.36,16.14,,,,0,999,0,0,0,0,0,0,0,0,0,0,0,85300,5864,0,2414,0,0,7000,0,, 
268945,533508,05-JAN-2023 07.32.06,1015,165,204.89,163,41.89,44.8,1651,,25.6,16.29,,,,0,800,0,0,0,0,0,0,0,0,0,0,0,92300,6769,0,3545,0,0,7000,0,, 
268948,533509,05-JAN-2023 08.35.00,2010,164.4,196.99,158.7,38.29,44,1649,,23.4,14.89,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,90600,6515,0,4297,0,0,7000,0,, 
268952,533510,05-JAN-2023 09.35.31,2010,160.4,184.2,148.2,36,42.6,1642,,22,14,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,88000,6035,0,2579,0,0,7000,0,, 
268954,533511,05-JAN-2023 10.28.37,2010,160.7,183.8,147.8,36,42.4,1639,,22,14,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,90100,6232,0,3784,0,0,7000,0,, 
268957,533512,05-JAN-2023 11.30.20,2010,161.2,190.9,154.9,36,45.9,1644,,22,14,,,,0,249,0,0,0,0,0,0,0,0,0,0,0,94000,6041,0,3414,0,0,7000,0,, 
268960,533513,05-JAN-2023 12.38.56,2032,161.4,190.7,149.7,41,48,1674,,25.06,15.94,,,,0,1001,0,0,0,0,0,0,0,0,0,0,0,99100,5498,0,3364,0,0,7800,0,, 
268963,533514,05-JAN-2023 13.32.29,1011,162.7,121.29,79.3,41.99,39.7,1653,,25.66,16.33,,,,0,250,0,0,0,0,0,0,0,0,0,0,0,85500,5834,0,2530,0,0,7000,0,, 
268966,533515,05-JAN-2023 14.22.07,1015,161,179.89,141.8,38.09,40.2,1650,,23.28,14.81,,,,0,799,0,0,0,0,0,0,0,0,0,0,0,84400,5505,0,2605,0,0,7000,0,, 
268969,533516,05-JAN-2023 16.04.35,1015,158.7,185.99,146,39.99,43.6,1654,,24.44,15.55,,,,0,821,0,0,0,0,0,0,0,0,0,0,0,86100,6138,0,3130,0,0,7100,0,, 
268972,533517,05-JAN-2023 16.57.36,1015,157.9,182.99,143,39.99,41.6,1658,,24.44,15.55,,,,0,822,0,0,0,0,0,0,0,0,0,0,0,86000,5616,0,3026,0,0,7000,0,, 
268975,533518,05-JAN-2023 17.52.17,1015,159.4,184.89,144.9,39.99,43.2,1678,,24.44,15.55,,,,0,821,0,0,0,0,0,0,0,0,0,0,0,88200,6015,0,3683,0,0,7000,0,, 
268978,533519,05-JAN-2023 18.50.45,2015,159.7,185.09,143.1,41.99,41.5,1638,,25.66,16.33,,,,0,821,0,0,0,0,0,0,0,0,0,0,0,85000,5842,0,3210,0,0,6900,0,, 
